Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Kasza K, Conway K, Borek N, Sharma  E, Goniewicz M, Cummings  KM, Ambrose B, Compton  W, Backinger C, Hyland A. Youth  tobacco use in 2013/14: findings from the Population Assessment of Tobacco and Health (PATH)  Study, Wave 1. Paper presented  at the  22nd Annual Meeting of the Society for Research on Nicotine and Tobacco; March 4, 2016; Chicago.","Kasza, K et al. (2016)",NA,"Paperpresentedatthe22ndAnnualMeetingoftheSocietyforResearchonNicotineandTobacco;March4,2016;Chicago.",NA,"Youth tobacco use in 2013/14: findings from the Population Assessment of Tobacco and Health (PATH) Study, Wave 1.","Kasza K, Conway K, Borek N, Sharma E, Goniewicz M, Cummings KM, Ambrose B, Compton W, Backinger C, Hyland A.",NA,NA,1,Journal article,0
"King BA, Patel R, Nguyen KH, Dube SR. Trends in aware- ness  and  use  of  electronic   cigarettes   among  U.S. adults,   2010–2013.  Nicotine   &  Tobacco  Research 2015;17(2):219–27.","King, BA et al. (2015)",NA,Nicotine&TobaccoResearch2015;17(2):219–27.,NA,"Trends in awareness and use of electronic cigarettes among U.S. adults, 2010–2013.","King BA, Patel R, Nguyen KH, Dube SR.",NA,NA,1,Journal article,0
"Li J, Bullen C, Newcombe R, Walker N, Walton D. The use and acceptability of electronic cigarettes among New Zealand smokers. New Zealand Medical Journal 2013;126(1375):48–57.","Li, J et al. (2013)",NA,NewZealandMedicalJournal2013;126(1375):48–57.,NA,The use and acceptability of electronic cigarettes among New Zealand smokers,Li J.,New Zealand Medical Journal,SCOPUS_ID:84878469942,1,Journal article,0
"Li J, Newcombe R, Walton D. The use of, and attitudes towards, electronic cigarettes and self-reported expo- sure to advertising and the product  in general. Australian and New Zealand Journal of Public Health 2014;38(6):524–8.","Li, J et al. (2014)",10.1111/1753-6405.12283,AustralianandNewZealandJournalofPublicHealth2014;38(6):524–8.,NA,"The use of, and attitudes towards, electronic cigarettes and self-reported exposure to advertising and the product in general",Li J.,Australian and New Zealand Journal of Public Health,SCOPUS_ID:84913617302,1,Journal article,0
"Miech R, Patrick ME, O’Malley PM, Johnston LD. What are kids vaping? Results from a national survey of U.S. ado- lescents. Tobacco Control 2016.","Miech, R et al. (2016)",NA,TobaccoControl2016.,NA,What are kids vaping? Results from a national survey of U.S. adolescents,"Miech R, Patrick ME, O’Malley PM, Johnston LD",NA,NA,1,Journal article,0
"Park JY, Seo DC, Lin HC. E-cigarette use and intention  to initiate or quit smoking among U.S. youths. American Journal of Public Health 2016;106(4):672–8.","Park, JY et al. (2016)",NA,AmericanJournalofPublicHealth2016;106(4):672–8.,NA,E-cigarette use and intention to initiate or quit smoking among U.S. youths.,"Park JY, Seo DC, Lin HC",NA,NA,1,Journal article,0
"Pierce  JP, Choi WS, Gilpin EA, Farkas  AJ, Merritt  RK. Validation of susceptibility as a predictor of which ado- lescents take up smoking in the United States. Health Psychology 1996;15(5):355–61.","Pierce, JP et al. (1996)",NA,HealthPsychology1996;15(5):355–61.,NA,Validation of susceptibility as a predictor of which adolescents take up smoking in the United States.,"Pierce JP, Choi WS, Gilpin EA, Farkas AJ, Merritt RK",NA,NA,1,Journal article,0
"Shiffman  S,  Sembower  MA, Pillitteri  JL, Gerlach  KK, Gitchell JG. The impact of flavor descriptors on non- smoking teens’ and adult smokers’ interest in elec- tronic    cigarettes.    Nicotine   &   Tobacco   Research 2015;17(10):1255–62.","Shiffman, S et al. (2015)",NA,Nicotine&TobaccoResearch2015;17(10):1255–62.,NA,The impact of flavor descriptors on non smoking teens’ and adult smokers’ interest in elec- tronic cigarettes,"Shiffman S, Sembower MA, Pillitteri JL, Gerlach KK, Gitchell JG.",NA,NA,1,Journal article,0
"Suris JC, Berchtold A, Akre C. Reasons to use e-cigarettes and associations with other substances among adoles- cents  in Switzerland.  Drug and Alcohol Dependence 2015;153:140–4.","Suris, JC et al. (2015)",NA,Dependence2015;153:140–4.,NA,Reasons to use e-cigarettes and associations with other substances among adolescents in Switzerland. Drug and Alcohol,"Suris JC, Berchtold A, Akre C",NA,NA,1,Journal article,0
"Vanyukov MM, Tarter RE, Kirillova GP, Kirisci L, Reynolds MD, Kreek MJ, Conway KP, Maher BS, Iacono  WG, Bierut L, et al. Common liability to addiction and “gateway hypothesis”: theoretical,  empirical and evo- lutionary  perspective. Drug and Alcohol Dependence 2012;123(Suppl 1):S3–S17.","Vanyukov, MM et al. (2012)",NA,DrugandAlcoholDependence2012;123(Suppl1):S3–S17.,NA,"Common liability to addiction and “gateway hypothesis”: theoretical, empirical and evo- lutionary perspective","Vanyukov MM, Tarter RE, Kirillova GP, Kirisci L, Reynolds MD, Kreek MJ, Conway KP, Maher BS, Iacono WG, Bierut L, et al.",NA,NA,1,Journal article,0
"Vasiljevic M, Petrescu DC, Marteau TM. Impact of adver- tisements  promoting  candy-like flavoured e-cigarettes on appeal of tobacco smoking among children: an experimental study. Tobacco Control 2016.","Vasiljevic, M et al. (2016)",NA,TobaccoControl2016.,NA,ompact of adver- tisements promoting candy-like flavoured e-cigarettes on appeal of tobacco smoking among children: an experimental study.,"Vasiljevic M, Petrescu DC, Marteau TM.",NA,NA,1,Journal article,0
"Al Jasser M, Mebuke N, de Gannes GC. Propylene glycol: an often unrecognized  cause of allergic contact  der- matitis in patients using topical corticosteroids. Skin Therapy Letter 2011;16(5):5–7.","Al Jasser, M et al. (2011)",NA,SkinTherapyLetter2011;16(5):5–7.,NA,Propylene glycol: an often unrecognized cause of allergic contact dermatitis in patients using topical corticosteroids.,Al Jasser M.,Skin therapy letter,SCOPUS_ID:80052340901,1,Journal article,0
American  College  of  Obstetricians   and  Gynecologists. Committee  opinion  number  503: tobacco  use and   women’s  health.   Obstetrics   and   Gynecology 2011;118(3):746–50.,American College of Obstetricians and Gynecologists (2011),NA,ObstetricsandGynecology2011;118(3):746–50.,NA,Committee opinion number 503: tobacco use and women’s health,American College of Obstetricians and Gynecologists,NA,NA,1,Journal article,0
"Aramakis VB, Hsieh CY, Leslie FM, Metherate R. A crit- ical  period  for  nicotine-induced   disruption   of  syn- aptic development in rat auditory cortex. Journal of Neuroscience 2000;20(16):6106–16.","Aramakis, VB et al. (2000)",NA,JournalofNeuroscience2000;20(16):6106–16.,NA,A critical period for nicotine-induced disruption of synaptic development in rat auditory cortex,Aramakis V.,Journal of Neuroscience,SCOPUS_ID:0034663027,1,Journal article,0
"Ballbe M, Martinez-Sanchez JM, Sureda X, Fu M, Perez- Ortuno R, Pascual JA, Salto E, Fernandez E. Cigarettes vs.  e-cigarettes:   Passive  exposure   at   home   mea- sured  by means  of airborne  marker  and biomarkers. Environmental  Research 2014;135:76–80.","Ballbe, M et al. (2014)",NA,EnvironmentalResearch2014;135:76–80.,NA,Cigarettes vs. ecigarettes: Passive exposure at home mea- sured by means of airborne marker and biomarkers.,"Ballbe M, Martinez-Sanchez JM, Sureda X, Fu M, Perez- Ortuno R, Pascual JA, Salto E, Fernandez E.",NA,NA,1,Journal article,0
"Banerji S, Bikkumalla S, Cozza  A, Guttenberg A, Bronstein AC. Kids and vapor: a 4-year analysis of pediatric expo- sures   to  electronic   cigarettes.   Clinical  Toxicology 2014;52:743–4.","Banerji, S et al. (2014)",NA,linicalToxicology2014;52:743–4.,NA,Kids and vapor a 4 year analysis of pediatric exposures to electronic cigarettes.,"Banerji S, Bikkumalla S, Cozza A, Guttenberg A, Bronstein AC",NA,NA,1,Journal article,0
"Bein K,     Leikauf     GD.     Acrolein—a     pulmonary hazard.    Molecular   Nutrition    &   Food   Research 2011;55(9):1342–60.","Bein, K and Leikauf, GD (2011)",10.1002/mnfr.201100279,MolecularNutrition&FoodResearch2011;55(9):1342–60.,NA,Acrolein - a pulmonary hazard,Bein K.,Molecular Nutrition and Food Research,SCOPUS_ID:80052540632,1,Journal article,0
"Bergstrom  HC, McDonald CG, French  HT, Smith  RF. Continuous nicotine administration produces selective, age-dependent structural alteration  of pyramidal neu- rons from prelimbic cortex. Synapse 2008;62(1):31–9.","Bergstrom, HC et al. (2008)",10.1002/syn.20467,Synapse2008;62(1):31–9.,NA,"Continuous nicotine administration produces selective, age-dependent structural alteration of pyramidal neurons from prelimbic cortex",Bergstrom H.,Synapse,SCOPUS_ID:36348937879,1,Journal article,0
"Bernheim  A,  Halfon O, Boutrel  B. Controversies  about the  enhanced  vulnerability  of  the  adolescent  brain to   develop  addiction.   Frontiers   in   Pharmacology 2013;4:118.","Bernheim, A et al. (2013)",NA,FrontiersinPharmacology2013;4:118.,NA,Controversies about the enhanced vulnerability of the adolescent brain to develop addiction,"Bernheim A, Halfon O, Boutrel B",NA,NA,1,Journal article,0
"Brady S, Siegel G, Albers RW, Price D, editors. Basic neu- rochemistry: principles of molecular, cellular and medical neurobiology. Amsterdam: Elsevier, 2012.","Brady, S et al. (2012)",NA,"Amsterdam:Elsevier,2012.",NA,"Basic neurochemistry: principles of molecular, cellular and medical neurobiology","Brady S, Siegel G, Albers RW, Price D,",NA,NA,1,Journal article,0
"Buka SL, Shenassa ED, Niaura R. Elevated risk of tobacco dependence among offspring of mothers  who smoked during    pregnancy:   a   30-year   prospective   study. American Journal of Psychiatry 2003;160(11):1978–84","Buka, SL et al. (2003)",10.1176/appi.ajp.160.11.1978,AmericanJournalofPsychiatry2003;160(11):1978–84,NA,Elevated risk of tobacco dependence among offspring of mothers who smoked during pregnancy: A 30-year prospective study,Buka S.,American Journal of Psychiatry,SCOPUS_ID:2542472072,1,Journal article,0
"Cervellin G, Luci M, Bellini C, Lippi G. Bad news about an  old  poison:  a  case  of nicotine  poisoning  due  to both ingestion and injection of the content  of an electronic  cigarette  refill.  Emergency   Care Journal 2013;9(18):53–4.","Cervellin, G et al. (2013)",NA,EmergencyCareJournal2013;9(18):53–4.,NA,Bad news about an old poison: a case of nicotine poisoning due to both ingestion and injection of the content of an electronic cigarette refill.,"Cervellin G, Luci M, Bellini C, Lippi G.",NA,NA,1,Journal article,0
"Clark S, Winter CK. Diacetyl in foods: a review of safety and sensory characteristics. Comprehensive Reviews in Food Science and Food Safety 2015;14(5):634–43.","Clark, S and Winter, CK (2015)",10.1111/1541-4337.12150,ComprehensiveReviewsinFoodScienceandFoodSafety2015;14(5):634–43.,NA,Diacetyl in Foods: A Review of Safety and Sensory Characteristics,Clark S.,Comprehensive Reviews in Food Science and Food Safety,SCOPUS_ID:84941877236,1,Journal article,0
"Cohen SM, Garland EM, St John M, Okamura  T, Smith RA. Acrolein initiates  rat urinary bladder carcinogen- esis. Cancer Research 1992;52(13):3577–81.","Cohen, SM et al. (1992)",NA,CancerResearch1992;52(13):3577–81,NA,Acrolein Initiates Rat Urinary Bladder Carcinogenesis,Cohen S.,Cancer Research,SCOPUS_ID:0026766227,1,Journal article,0
"Coleman  T, Chamberlain  C, Davey MA, Cooper  SE, Leonardi-Bee J. Pharmacological interventions for pro- moting smoking cessation during pregnancy. Cochrane Database of Systematic  Reviews 2012, Issue 9. Art. No.: CD010078. DOI: 10.1002/14651858.CD010078.","Coleman, T et al. (2012)",10.1002/14651858.CD010078.pub2,"CochraneDatabaseofSystematicReviews2012,Issue9.Art.No.:CD010078.DOI:10.1002/14651858.CD010078.",NA,Pharmacological interventions for promoting smoking cessation during pregnancy,Coleman T.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84960180838,1,Journal article,0
Dahl RE. Adolescent brain development: a period of vul- nerabilities and opportunities. Keynote address. Annals of the New York Academy of Sciences 2004;1021:1–22.,"Dahl, RE (2004)",10.1196/annals.1308.001,Keynoteaddress.AnnalsoftheNewYorkAcademyofSciences2004;1021:1–22.,NA,Adolescent brain development: A period of vulnerabilities and opportunities - Keynote Address,Dahl R.,Annals of the New York Academy of Sciences,SCOPUS_ID:3042833427,1,Journal article,0
"DeJarnett N, Conklin DJ, Riggs DW, Myers JA, O’Toole TE, Hamzeh I, Wagner S, Chugh A, Ramos KS, Srivastava S, et al. Acrolein exposure is associated with increased cardiovascular disease risk. JAMA: the Journal of the American Medical Association 2014;3(4):e000934.","DeJarnett, N et al. (2014)",10.1161/JAHA.114.000934,JAMA:theJournaloftheAmericanMedicalAssociation2014;3(4):e000934.,NA,Acrolein exposure is associated with increased cardiovascular disease risk,DeJarnett N.,Journal of the American Heart Association,SCOPUS_ID:84927647962,1,Journal article,0
"Duncan JR, Paterson  DS, Kinney HC. The development of nicotinic  receptors  in the  human  medulla  oblon- gata: inter-relationship with the serotonergic system. Autonomic Neuroscience 2008;144(1–2):61–75.","Duncan, JR et al. (2008)",NA,AutonomicNeuroscience2008;144(1–2):61–75.,NA,The development of nicotinic receptors in the human medulla oblongata: interrelationship with the serotonergic system,"Duncan JR, Paterson DS, Kinney HC.",NA,NA,1,Journal article,0
"Dwyer JB, Broide RS, Leslie FM. Nicotine and brain devel- opment. Birth Defects Research. Part C: Embryo Today 2008;84(1):30–44.","Dwyer, JB et al. (2008)",NA,EmbryoToday2008;84(1):30–44.,NA,Nicotine and brain development. Birth Defects Research. Part C:,"Dwyer JB, Broide RS, Leslie FM",NA,NA,1,Journal article,0
"Egilman   DS,  Schilling   JH,  Menendez  L.  A   proposal for a safe exposure level for diacetyl. International Journal of Occupational  and  Environmental   Health 2011;17(2):122–34.","Egilman, DS et al. (2011)",10.1179/oeh.2011.17.2.122,internationalJournalofOccupationalandEnvironmentalHealth2011;17(2):122–34.,NA,A proposal for a safe exposure level for diacetyl,Egilman D.,International Journal of Occupational and Environmental Health,SCOPUS_ID:79955117843,1,Journal article,0
"Ehlinger  DG, Bergstrom  HC, Burke JC, Fernandez  GM, McDonald CG, Smith RF. Adolescent nicotine-induced dendrite   remodeling  in  the  nucleus   accumbens  is rapid,  persistent,  and  D1-dopamine  receptor  depen- dent. Brain Structure & Function 2016;221(1):133–45.","Ehlinger, DG et al. (2016)",NA,BrainStructure&Function2016;221(1):133–45.,NA,"adolescent nicotine induced dendrite remodeling in the nucleus accumbens is rapid, persistent, and D1dopamine receptor dependent.","Ehlinger DG, Bergstrom HC, Burke JC, Fernandez GM, McDonald CG, Smith RF.",NA,NA,1,Journal article,0
"Ekblad M, Korkeila J, Lehtonen L. Smoking during preg- nancy affects foetal brain development. Acta Paediatrica 2015;104(1):12–8.","Ekblad, M et al. (2015)",10.1111/apa.12791,ActaPaediatrica2015;104(1):12–8.,NA,Smoking during pregnancy affects foetal brain development,Ekblad M.,"Acta Paediatrica, International Journal of Paediatrics",SCOPUS_ID:84920102101,1,Journal article,0
"Fiore MC, Jaén CR, Baker TB, Bailey W, Benowitz N, Curry S, Dorfman  S, Froehlicher  E, Goldstein  M, Healton C, et al. Treating Tobacco Use and Dependence: 2008 Update—Clinical Practice Guidelines. Rockville (MD): U.S. Department of Health and Human Services, Public Health Service, 2008.","Fiore, MC et al. (2008)",NA,"Rockville(MD):U.S.DepartmentofHealthandHumanServices,PublicHealthService,2008.",NA,Treating Tobacco Use and Dependence: 2008 Update—Clinical Practice Guidelines.,"Fiore MC, Jaén CR, Baker TB, Bailey W, Benowitz N, Curry S, Dorfman S, Froehlicher E, Goldstein M, Healton C, et al.",NA,NA,1,Journal article,0
"Franke RM, Park M, Belluzzi JD, Leslie FM. Prenatal nico- tine exposure changes natural  and drug-induced  rein- forcement  in adolescent male rats. European Journal of Neuroscience 2008;27(11):2952–61.","Franke, RM et al. (2008)",10.1111/j.1460-9568.2008.06253.x,EuropeanJournalofNeuroscience2008;27(11):2952–61.,NA,Prenatal nicotine exposure changes natural and drug-induced reinforcement in adolescent male rats,Franke R.,European Journal of Neuroscience,SCOPUS_ID:45149107492,1,Journal article,0
