Reference,nrefs,Full Reference
Wells Fargo Securities (2015a),1,"Wells Fargo Securities.  Nielsen: Tobacco “All Channel” Data Cig Pricing Remains Strong; E-Cig $ Sales Growth Re-Accelerates. Equity Research. San Francisco (CA): Wells Fargo Securities, March 31, 2015a."
Wells Fargo Securities (2015b),1,"Wells Fargo Securities. Tobacco Talk: Independent Vapor Mfr. Survey: More Bullish Than Retailers—Suggesting Vapor Growth Remains Robust. Equity Research. San Francisco  (CA): Wells Fargo  Securities,  January  23, 2015b."
Wells Fargo Securities (2015c),1,"Wells Fargo Securities. Tobacco Talk: Q4 U.S. Vapor Retailer Survey—Wake Up Call! Action Needed To Keep Vapor Category Momentum Alive. San Francisco (CA): Wells Fargo Securities, January 22, 2015c."
"Williams, RS et al. (2015)",2,"Williams RS, Derrick J, Ribisl KM. Electronic  cigarette sales  to  minors   via  the  Internet.   JAMA Pediatrics 2015;169(3):e1563."
"Williams, RS et al. (ND)",1,"Williams  RS,  Derrick   J,   Richardson   A,   Ribisl  KM. Surveillance of the sales and marketing  practices of Internet  e-cigarette vendors: a content  analysis of 281 websites. In press."
Agency for Healthcare Research and Quality (2015),1,"Agency for Healthcare  Research and Quality. Final Recommendation Statement:     Tobacco    Smoking Cessation in Adults and Pregnant Women: Behavioral and Pharmacotherapy  Interventions.  Rockville (MD): U.S. Preventive Services Task Force, 2015."
American Academy of Pediatrics (2015a),1,American   Academy  of   Pediatrics.   Policy   statement: electronic  nicotine  delivery systems.  Pediatrics 2015a;136(5):1018–26.
American Academy of Pediatrics (2015b),1,"American Academy of Pediatrics. Public policy to protect children from tobacco, nicotine, and tobacco smoke. Pediatrics 2015b;136(5):998–1007."
American Association for Cancer Research (2015),1,"American Association for Cancer Research, American Society of Clinical Oncology. Regulating electronic cigarettes  and other  ENDS, 2015; <http://www. aacr.org/AdvocacyPolicy/GovernmentAffairs/Pages/ recommendations-for-the-regulation-of-electronic- cigarettes.aspx#.Vz3oUfkrLrc>;  accessed:  October   22, 2015."
American Association for Respiratory Care (2015),1,"American Association for Respiratory Care. Electronic cigarette [position statement],  2015; <https://www. aarc.org/resources/professional-documents/position- statements/>;  accessed: October 22, 2015."
American Cancer Society (2014),1,"American Cancer    Society.   What    about    electronic cigarettes? Aren’t they safe?, 2014; <http://www. cancer.org/cancer/cancercauses/tobaccocancer/ questionsaboutsmokingtobaccoandhealth/questions- about-smoking-tobacco-and-health-e-cigarettes>; accessed: October 22, 2015."
American College of Chest Physicians (2014),1,"American College of Chest Physicians. World’s leading lung societies release position statement on e-cigarettes, 2014; <http://www.chestnet.org/News/Press-Releases/2014/07/ Worlds-Leading-Lung-Societies-Release-Position- Statement-on-ECigarettes>; accessed: October 22, 2015."
American Lung Association (2014),1,"American Lung Association. E-cigarettes,  2014; <http:// www.lung.org/associations/charters/midland-states/ assets/pdfs/advocacy-pdfs/position-statement-on.pdf>; accessed: October 22, 2015."
American Lung Association (2015),1,"American Lung Association. American Lung Association statement  on     e-cigarettes,      2015;     <http://www. lung.org/stop-smoking/tobacco-control-advocacy/ federal/e-cigarettes.html>; accessed: September 14, 2015."
American Thoracic  Society (2013),1,"American Thoracic  Society. [ATS policy position: E-cigarettes]. New York: American Thoracic Society, 2013; <http://www.thoracic.org/advocacy/press-releases/ATS_ Policy_Position_eCigarettes.pdf>; accessed: October 22, 2015."
American Thoracic Society (2015),1,"American Thoracic Society. As use of e-cigarettes by chil- dren  increases,  the  American  Thoracic  Society  calls for tighter  regulation,  2015; <http://www.thoracic.org/ about/newsroom/press-releases/journal/as-use-of-e-cig- arettes-by-children-iIncreases-the-ats-calls-for-tighter- regulation%20.php>; accessed: October 22, 2015."
Americans for Nonsmokers’ Rights Foundation (ND),1,"Americans  for  Nonsmokers’  Rights  Foundation.  Going smoke free: North Dakota, n.d.; <http://no-smoke.org/ goingsmokefree.php?id=157>; accessed: May 14, 2015."
Americans for Nonsmokers’ Rights Foundation (2015),1,"Americans  for  Nonsmokers’  Rights  Foundation.   U.S. State  and  Local Laws Regulating  Use of Electronic Cigarettes. Oakland (CA): Americans for Nonsmokers’ Rights Foundation, 2015."
Americans for Nonsmokers’ Rights (NDa),1,"Americans for Nonsmokers’ Rights. Electronic cigarettes, n.d.a; <http://www.no-smoke.org/pdf/ecigarettes-4-pager. pdf>; accessed: October 22, 2015."
Americans for Nonsmokers’ Rights (NDb),1,"Americans for Nonsmokers’ Rights. Electronic cigarettes are not a safe alternative, n.d.b; <http://www.no-smoke. org/learnmore.php?id=645>;   accessed:   October   22, 2015."
Association of State and Territorial Health Officials (2014),1,"Association of State and Territorial Health Officials. Tobacco Use Prevention and Control Position Statement, September, 2014; <http://www.astho.org/Policy-and- Position-Statements/Position-Statement-on-Tobacco-Use- Prevention-and-Control/>; accessed: November 12, 2015."
"Bader, P et al. (2011)",1,"Bader P, Boisclair D, Ferrence  R. Effects of tobacco tax- ation and pricing on smoking behavior in high risk populations: a knowledge synthesis. International Journal of Environmental  Research and Public Health 2011;8(11):4118–39."
Ballotpedia (2012),1,"Ballotpedia.NorthDakotaSmokingBanInitiative,Measure4, 2012; <http://ballotpedia.org/North_Dakota_Smoking_ Ban_Initiative,_Measure_4_(2012)>; accessed: May 14, 2015."
"Bam, TS et al. (2014)",1,"Bam TS, Bellew W, Berezhnova I, Jackson-Morris A, Jones A, Latif E, Molinari MA, Quan G, Singh RJ, Wisotzky M, et al. Position statement on electronic cigarettes or elec- tronic nicotine delivery systems. International  Journal of Tuberculosis and Lung Disease 2014;18(1):5–7."
"Bates, C (2014)",1,"Bates  C.  WHO  position   on   ENDS  (e-cigarettes):   a critique  of the  use of science and communication of risk. Paper prepared  for the  Sixth Conference of the Parties (COP-6) of the Framework Convention on Tobacco  Control   (FCTC);  October,  2014;  Moscow; <https://nicotinepolicy.net/documents/briefings/ WHOpapercritique.pdf>; accessed: October 22, 2015."
"Benowitz, NL (2014)",1,Benowitz   NL.  Emerging   nicotine   delivery  products. Implications for public health. Annals of the American Thoracic Society 2014;11(2):231–5.
"Boonn, A (2013)",1,"Boonn  A.  The  Best Way to  Tax Smokeless  Tobacco: A Simple Weight-Based Tax Hurts  State  Revenues and Increases  Youth  Use, August 1, 2013; <https://www. tobaccofreekids.org/research/factsheets/pdf/0282.pdf>; accessed: October 20, 2015."
"Brandon, TH et al. (2015)",1,"Brandon   TH,  Goniewicz  ML, Hanna   NH,  Hatsukami DK, Herbst  RS,  Hobin  JA, Ostroff  JS,  Shields  PG, Toll BA, Tyne CA, et al. Electronic  nicotine  delivery systems: a policy statement  from the American Association for Cancer Research and the American Society of Clinical Oncology. Clinical Cancer Research 2015a;21(3):514–25."
BreatheND (2014),1,BreatheND. Violations of North Dakota’s Smoke-Free Law. 2014.
BreatheND (NDa),1,"BreatheND. A Guide to North Dakota’s Smoke-Free Law, n.d.a.; <http://www.breathend.com/uploads/0/smokefreebro.pdf>; accessed: February 19, 2016."
BreatheND (NDb),1,"BreatheND. Smoke free law (home page), n.d.b.; <http:// www.breathend.com/smokefree/>;   accessed:  May  4, 2016."
"Bunnell, RE et al (2015)",1,"Bunnell RE, Agaku IT, Arrazola RA, Apelberg  BJ, Caraballo RS, Corey CG, Coleman BN, Dube SR, King BA. Intentions to smoke cigarettes among never-smoking U.S. middle and high school electronic cigarette users: National Youth Tobacco Survey, 2011–2013. Nicotine & Tobacco Research 2015;17(2):228–35."
Bureau of Prisons (2015),1,"Bureau  of  Prisons.   Electronic  Cigarettes  (Operations memorandum  006-2015), 2015; <https://www.bop.gov/ policy/om/006_2015.pdf>; accessed: October 20, 2016."
"Calantzopoulos, A (2015)",1,"Calantzopoulos  A.  PMI Annual Meeting of Shareholders, May 6, 2015; <http://www.businesswire.com/news/ home/20150506005550/en/Philip-Morris-International- PMI-Holds-2015-Annual>; accessed: September 15, 2015."
CAMQUIT (ND),1,"CAMQUIT. Electronic cigarettes—a summary of evidence and  expert  opinion,  n.d.;  <http://www.camquit.nhs. uk/uploads/Electronic%20cigarettes.docx>;    accessed: October 22, 2015."
Center for Public Health and Tobacco Policy (2013),1,"Center for Public Health and Tobacco Policy. E-Cigarettes Fact Sheet. Revised October 2013. Boston (MA): New England Law Boston, 2013; <http://www.tobaccopolicycenter. org/documents/CPHTP%20e-cig%20fact%20sheet%20 10-17-2013%20(2).pdf>; accessed: December 24, 2016."
Centers for Disease Control and Prevention (2013c),1,"Centers  for  Disease  Control  and  Prevention.  TobaccoControl  State   Highlights   2012.  Atlanta  (GA): U.S. Department  of Health  and Human  Services, Centers for Disease Control  and Prevention,  National Center for Chronic Disease Prevention and Health Promotion, Office on Smoking and Health, 2013:300."
Centers for Disease Control and Prevention (2015g),1,"Centers for Disease Control and Prevention. STATE System E-Cigarette Fact Sheet, 2015a; <https://chronicdata. cdc.gov/Legislation/STATE-System-E-Cigarette-Fact- Sheet/qte6-7jwd>; accessed: February 17, 2016."
Centers for Medicare and Medicaid Services (2010),1,"Centers for Medicare & Medicaid Services. National cov- erage  determination   (NCD) for  counseling  to  pre- vent tobacco use (210.4.1), 2010; <https://www.cms. gov/medicare-coverage-database/details/ncd-details. aspx?NCDId=342>; accessed: September 28, 2015."
"Chang, H (2014)",1,Chang H. Research gaps related to the environmental impacts   of  electronic   cigarettes.   Tobacco  Control 2014;23(Suppl 2):ii54–ii58.
ChangeLab Solutions (2012),1,"ChangeLab Solutions. Licensing & Zoning: Tools for Public Health.  Oakland  (CA): ChangeLab  Solutions,  2012; <http://www.changelabsolutions.org/sites/default/files/ Licensing&Zoning_FINAL_20120703.pdf>; accessed: October 20, 2015."
ChangeLab Solutions (2015a),1,"ChangeLab Solutions. Model California Ordinance Regulating  Electronic    Smoking     Devices    (with Annotations). Sacramento (CA): California Department of Public Health, 2015a."
ChangeLab Solutions (2015b),1,"ChangeLab Solutions. What is a “moratorium ordinance,” and how can it affect tobacco sales in your commu- nity?, 2015b; <http://www.changelabsolutions.org/faq- moratorium-ordinance>; accessed: April 27, 2015."
City of Hayward (2014),1,"City of Hayward. City of Hayward council agenda: Jun  24, 2014, 2014; <http://www.hayward-ca.gov/CITY- GOVERNMENT/CITY-COUNCIL-MEETINGS/2014/ CCA14PDF/cca062414full.pdf>; accessed: October 20 2015."
City of Hayward (Nda),1,"City of Hayward. City of Hayward Tobacco Retail License Program: Frequently Asked Questions, n.d.a; <http://www. hayward-ca.gov/CITY-GOVERNMENT/DEPARTMENTS/ CITY-MANAGER/documents/2015/TRL_FAQ.pdf>; accessed: October 20, 2015."
City of Hayward (NDb),1,"City of Hayward. Tobacco retail inspection, n.d.b; <http:// user.govoutreach.com/hayward/faq.php?cid=28719>; accessed: October 20, 2015."
"Cobb, NK and Abrams, DB (2014)",1,"Cobb NK, Abrams DB. The FDA, e-cigarettes,  and  the demise of combusted tobacco. New England Journal of Medicine 2014;371(16):1469–71."
Committees of Advertising Practice (2014b),1,"Committees of Advertising Practice. New UK advertising rules  for  e-cigarettes,  2014; <http://www.cap.org.uk/ News-reports/Media-Centre/2014/New-ecig-ad-rules. aspx#.VVZa9mCeeFJ>; accessed: August 18, 2015."
Community Preventive Services Task Force (2001),1,"Community Preventive Services Task Force. Community mobilization with      additional      interventions       to restrict    minors’   access   to   tobacco   products,    2001; < http://www.thecommunityguide.org/tobacco/ RRcommunityinterventions.html>; accessed: April 19, 2015."
Community  Preventive Services Task Force (2012),1,"Community  Preventive  Services  Task Force.  Reducing tobacco use and secondhand smoke exposure: interven- tions to increase the unit  price for tobacco products, 2012;    <http://www.thecommunityguide.org/tobacco/ increasingunitprice.html>; accessed: April 15, 2015."
"Crowley, RA (2015)",1,"Crowley RA, Health  Public  Policy  Committee   of  the American College of Physicians. Electronic nicotine delivery systems: executive summary of a policy posi- tion  paper from the  American College of Physicians. Annals of Internal Medicine 2015;162(8):583–4."
European Respiratory Society (2014),1,"European   Respiratory   Society.  ERS  position   on   the Revision  of  the  Tobacco  Products   Directive,  2014; <http://www.ersnet.org/ers-position-on-the-revision- of-the-tobacco-products-directive.html>; accessed: October 22, 2015."
Executive Office of the President (2001),1,"Executive Office of the  President.  Federal Leadership  on Global Tobacco Control and Prevention, 2001, January 23; <https://www.federalregister.gov/d/01-2139>; accessed: October 20, 2016."
Executive Office of the President (1997),1,"Executive Office of the  President.  Protecting  federal employees and the public from exposure to tobacco smoke  in  the  federal  workplace,  1997,  August  13;<https://www.federalregister.gov/d/97-21607>; accessed: October 20, 2016."
"Fagerstrom, KO and Bridgman, K (2014)",1,"Fagerström  KO, Bridgman  K. Tobacco harm  reduction: the need for new products that can compete with ciga- rettes. Addictive Behaviors 2014;39(3):507–11."
US Department of Veterans Affairs (2006),1,"Federal Register. U.S. Department  of Veterans Affairs, Elimination of copayment for smoking cessation coun- seling. 71 Fed. Reg. 2464 (2006)."
US Department of Labor (2001),1,"Federal Register. U.S. Department of Labor, Occupational Safety and Health Administration (OSHA), Indoor air quality. 66 Fed. Reg. 64946 (2001)."
Federal Register (2008),1,"Federal Register. Appendix  A to subpart A of subpart A of part 3020—mail classification schedule—continued, part 102–74—facility management,  General Services Administration. What is the smoking policy for interior space in Federal facilities? 78 Fed. Reg. 77518 (2008); <http://www.gpo.gov/fdsys/pkg/FR-2008-12-19/pdf/ E8-30180.pdf#page=2>; accessed: December 23, 2015."
US Department of Housing and Urban Development (2012),1,"Federal Register. U.S. Department of Housing and Urban Development. Request for information on adopting smoke-free policies in PHAs and multifamily housing: a notice by the Housing and Urban Development Department on 10/04/2012. 77 Fed. Reg. 60712 (2012); <https://federalregister.gov/a/2012-24430>; accessed: November 18, 2015."
US Department of Housing and Urban Development (2015),1,"Federal Register. U.S. Department of Housing and Urban Development. Instituting smoke-free public housing: a proposed rule by the Housing and Urban Development Department on 11/17/2015. 80 Fed. Reg. 71762 (2015); <https://federalregister.gov/a/2015-29346>; accessed: November 17, 2015."
Federal Trade Commission (1984),1,"Federal Trade Commission. Complaint 103 in the matter of Cliffdale Associates, Inc.  et  al.  In:  Federal Trade Commission  Decisions. 1984:110–22; <https://www. ftc.gov/sites/default/files/documents/commission_ decision_volumes/volume-103/ftc_volume_ decision_103_january_-_june_1984pages_103-203. pdf>; accessed: October 20, 2015."
